feature,gain,split
Total_Spillover_chg1_lag12,0.0,0
Total_Spillover_chg1_lag10,0.0,0
Total_Spillover_chg1_lag7,0.0,0
Total_Spillover_chg1_lag6,0.0,0
Total_Spillover_chg1_lag5,0.0,0
Total_Spillover_chg1_lag3,0.0,0
avg_dcc_lag12,0.0,0
Total_Spillover_chg1_lag2,0.0,0
Total_Spillover_chg1_lag1,0.0,0
avg_dcc_lag18,0.0,0
avg_dcc_lag17,0.0,0
avg_dcc_lag14,0.0,0
avg_dcc_lag13,0.0,0
PBW_y_lag8,0.0,0
PBW_y_lag2,0.0,0
Natural_Gas_x_lag15,0.0,0
Natural_Gas_y_lag7,0.0,0
Natural_Gas_y_lag19,0.0,0
Natural_Gas_y_lag17,0.0,0
Natural_Gas_y_lag15,0.0,0
Natural_Gas_y_lag13,0.0,0
Natural_Gas_y_lag11,0.0,0
Natural_Gas_y_lag9,0.0,0
Natural_Gas_y_lag6,0.0,0
Crude_Oil_x_lag3,0.0,0
Natural_Gas_y_lag4,0.0,0
Natural_Gas_y_lag3,0.0,0
Natural_Gas_y_lag2,0.0,0
Natural_Gas_x_lag18,0.0,0
Natural_Gas_x_lag17,0.0,0
Natural_Gas_x_lag16,0.0,0
Crude_Oil_x_lag1,0.0,0
Crude_Oil_x_lag16,0.0,0
PBW_x_lag18,0.0,0
Crude_Oil_y_lag20,0.0,0
PBW_x_lag10,0.0,0
PBW_x_lag9,0.0,0
PBW_x_lag8,0.0,0
PBW_x_lag4,0.0,0
PBW_x_lag3,0.0,0
PBW_x_lag1,0.0,0
Crude_Oil_y_lag18,0.0,0
Crude_Oil_x_lag18,0.0,0
S&P_500_x_lag2,0.0,0
Crude_Oil_y_lag9,0.0,0
Crude_Oil_y_lag8,0.0,0
Crude_Oil_y_lag3,0.0,0
Crude_Oil_y_lag2,0.0,0
Crude_Oil_x_lag19,0.0,0
Regime_SegID,0.0,0
