Date,P(High),P(Med),P(Low)
2015-08-04,0.348833,0.318184,0.318033
2015-08-11,0.333080,0.348811,0.348830
2015-08-18,0.318039,0.333237,0.333077
2015-08-25,0.348835,0.318188,0.318036
2015-09-01,0.333082,0.348801,0.348832
2015-09-09,0.318041,0.333239,0.333080
2015-09-16,0.348837,0.318190,0.318038
2015-09-23,0.333084,0.348790,0.348835
2015-09-30,0.318043,0.333188,0.333082
2015-10-07,0.348839,0.318142,0.318040
2015-10-14,0.333086,0.348785,0.348837
2015-10-21,0.318044,0.333147,0.333084
2015-10-28,0.348840,0.318103,0.318042
2015-11-04,0.333087,0.348783,0.348838
2015-11-11,0.318045,0.333117,0.333085
2015-11-18,0.348841,0.318074,0.318044
2015-11-25,0.333088,0.348784,0.348840
2015-12-03,0.318046,0.333077,0.333087
2015-12-10,0.348842,0.318036,0.318045
2015-12-17,0.333089,0.348789,0.348841
2015-12-24,0.318047,0.333066,0.333088
2016-01-04,0.348843,0.318026,0.318046
2016-01-11,0.333090,0.348794,0.348842
2016-01-19,0.318048,0.333056,0.333089
2016-01-26,0.348844,0.318016,0.318047
2016-02-02,0.333091,0.348800,0.348843
2016-02-09,0.318049,0.333051,0.333090
2016-02-17,0.348845,0.318011,0.318048
2016-02-24,0.333092,0.348807,0.348844
2016-03-02,0.318050,0.333055,0.333091
2016-03-09,0.348846,0.318015,0.318049
2016-03-16,0.333092,0.348812,0.348845
2016-03-23,0.318050,0.333061,0.333091
2016-03-31,0.348846,0.318020,0.318050
2016-04-07,0.333093,0.348817,0.348845
2016-04-14,0.318051,0.333065,0.333092
2016-04-21,0.348847,0.318024,0.318050
2016-04-28,0.333093,0.348821,0.348846
2016-05-05,0.318051,0.333069,0.333093
2016-05-12,0.348847,0.318028,0.318051
2016-05-19,0.333094,0.348825,0.348846
2016-05-26,0.318052,0.333073,0.333093
2016-06-03,0.348847,0.318032,0.318051
2016-06-10,0.333094,0.348828,0.348847
2016-06-17,0.318052,0.333076,0.333093
2016-06-24,0.348848,0.318034,0.318051
2016-07-01,0.333094,0.348831,0.348847
2016-07-11,0.318052,0.333078,0.333094
2016-07-18,0.348848,0.318037,0.318052
2016-07-25,0.333094,0.348833,0.348848
2016-08-01,0.318052,0.333081,0.333094
2016-08-08,0.348848,0.318039,0.318052
2016-08-15,0.333095,0.348835,0.348848
2016-08-22,0.318053,0.333135,0.333094
2016-08-29,0.348848,0.318091,0.318052
2016-09-06,0.333095,0.348833,0.348848
2016-09-13,0.318053,0.335147,0.333095
2016-09-20,0.348848,0.320013,0.318053
2016-09-27,0.333095,0.348652,0.348848
2016-10-04,0.318053,0.341062,0.333095
2016-10-12,0.348849,0.325661,0.318053
2016-10-19,0.333095,0.347958,0.348848
2016-10-26,0.318053,0.349664,0.333095
2016-11-02,0.348849,0.333874,0.318053
2016-11-09,0.333095,0.346536,0.348849
2016-11-17,0.318053,0.362555,0.333095
2016-11-25,0.348849,0.346183,0.318053
2016-12-02,0.333095,0.344040,0.348849
2016-12-09,0.318053,0.370402,0.333095
2016-12-16,0.348849,0.353675,0.318053
2016-12-23,0.333096,0.340964,0.348849
2017-01-03,0.318053,0.370364,0.333095
2017-01-10,0.348849,0.353639,0.318053
2017-01-18,0.333096,0.338030,0.348849
2017-01-25,0.318054,0.367878,0.333096
2017-02-01,0.348849,0.351265,0.318053
2017-02-08,0.333096,0.335448,0.348849
2017-02-15,0.318054,0.365453,0.333096
2017-02-23,0.348849,0.348949,0.318054
2017-03-02,0.333096,0.333197,0.348849
2017-03-09,0.318054,0.363307,0.333096
2017-03-16,0.348849,0.346901,0.318054
2017-03-23,0.333096,0.331237,0.348849
2017-03-30,0.318054,0.361436,0.333096
2017-04-06,0.348849,0.345115,0.318054
2017-04-13,0.333096,0.329530,0.348849
2017-04-21,0.318054,0.359807,0.333096
2017-04-28,0.348849,0.343559,0.318054
2017-05-05,0.333096,0.328045,0.348849
2017-05-12,0.318054,0.358389,0.333096
2017-05-19,0.348849,0.342205,0.318054
2017-05-26,0.333096,0.326752,0.348849
2017-06-05,0.318054,0.357154,0.333096
2017-06-12,0.348849,0.341026,0.318054
2017-06-19,0.333096,0.325626,0.348849
2017-06-26,0.318054,0.356079,0.333097
2017-07-03,0.348849,0.339999,0.318055
2017-07-11,0.333096,0.324646,0.348849
2017-07-18,0.318054,0.355143,0.333103
2017-07-25,0.348850,0.339106,0.318061
2017-08-01,0.333096,0.323792,0.348849
2017-08-08,0.318054,0.354329,0.333348
2017-08-15,0.348850,0.338328,0.318294
2017-08-22,0.333096,0.323050,0.348827
2017-08-29,0.318054,0.353619,0.336899
2017-09-06,0.348850,0.337650,0.321685
2017-09-13,0.333096,0.322403,0.348492
2017-09-20,0.318054,0.353002,0.346534
2017-09-27,0.348850,0.337061,0.330886
2017-10-04,0.333096,0.321840,0.347322
2017-10-11,0.318054,0.352464,0.357223
2017-10-18,0.348850,0.336548,0.341092
2017-10-25,0.333096,0.321350,0.345261
2017-11-01,0.318054,0.351996,0.364093
2017-11-08,0.348850,0.336101,0.347651
2017-11-15,0.333096,0.320923,0.342687
2017-11-22,0.318054,0.351589,0.365952
2017-11-30,0.348850,0.335712,0.349426
2017-12-07,0.333096,0.320552,0.340065
2017-12-14,0.318054,0.351234,0.366063
2017-12-21,0.348850,0.335373,0.349532
2017-12-29,0.333096,0.320229,0.337551
2018-01-08,0.318054,0.350926,0.365497
2018-01-16,0.348850,0.335079,0.348991
2018-01-23,0.333096,0.319947,0.335201
2018-02-01,0.318054,0.350657,0.364393
2018-02-08,0.348850,0.334822,0.347938
2018-02-15,0.333096,0.319702,0.333055
2018-02-23,0.318054,0.350423,0.362849
2018-03-02,0.348850,0.334599,0.346463
2018-03-09,0.333096,0.319489,0.331141
2018-03-16,0.318054,0.350219,0.361225
2018-03-23,0.348850,0.334404,0.344913
2018-04-02,0.333096,0.319303,0.329458
2018-04-09,0.318054,0.350042,0.359727
2018-04-16,0.348850,0.334235,0.343482
2018-04-23,0.333096,0.319141,0.327983
2018-04-30,0.318054,0.349888,0.358329
2018-05-07,0.348850,0.334087,0.342147
2018-05-14,0.333096,0.319001,0.326698
2018-05-21,0.318054,0.349753,0.357102
2018-05-29,0.348850,0.333959,0.340976
2018-06-05,0.333096,0.318878,0.325579
2018-06-12,0.318054,0.349636,0.356034
2018-06-19,0.348850,0.333847,0.339956
2018-06-26,0.333096,0.318771,0.324605
2018-07-03,0.318054,0.349535,0.355104
2018-07-11,0.348850,0.333750,0.339068
2018-07-18,0.333096,0.318679,0.323757
2018-07-25,0.318054,0.349446,0.354295
2018-08-01,0.348850,0.333665,0.338295
2018-08-08,0.333096,0.318598,0.323019
2018-08-15,0.318054,0.349369,0.353590
2018-08-22,0.348850,0.333592,0.337622
2018-08-29,0.333096,0.318527,0.322376
2018-09-06,0.318054,0.349302,0.352976
2018-09-13,0.348850,0.333528,0.337036
2018-09-20,0.333096,0.318466,0.321817
2018-09-27,0.318054,0.349243,0.352442
2018-10-04,0.348850,0.333472,0.336526
